Name,Rating,Reviews,Type,Salaries,Interviews,Jobs,Benefits
Bajaj Finance,4.0,6.8k,NBFC | Pune +846 other locations,21k,305,6.8k,544
Wells Fargo,3.8,6.6k,Financial Services | Bangalore / Bengaluru +23 other locations,49k,569,224,926
Amazon Development Centre India,4.1,6.4k,Internet | Hyderabad / Secunderabad +117 other locations,32.8k,753,15,73
ICICI Prudential Life Insurance,4.1,6.3k,Insurance | Mumbai +479 other locations,21.2k,389,271,640
JPMorgan Chase & Co.,3.9,6.3k,Financial Services | Bangalore / Bengaluru +47 other locations,71.2k,742,837,923
Delhivery,3.8,6.2k,Logistics | Gurgaon / Gurugram +679 other locations,19.2k,464,107,686
Hindustan Unilever,4.2,6.2k,FMCG | Mumbai +485 other locations,21.4k,386,12,790
Jana Small Finance Bank,3.8,6.2k,Banking | Bangalore / Bengaluru +376 other locations,14.4k,250,27,636
Optum Global Solutions,4.0,6.1k,IT Services & Consulting | Hyderabad / Secunderabad +43 other locations,39.4k,605,95,772
Lupin,4.2,6.1k,Pharma | Pune +183 other locations,22.4k,339,97,837
L&T Construction,4.0,6.1k,Engineering & Construction | Chennai +381 other locations,18.5k,746,--,851
Hexaware Technologies,3.5,6.1k,IT Services & Consulting | Chennai +57 other locations,48k,714,176,607
Zydus Lifesciences,4.1,6k,Pharma | Ahmedabad +161 other locations,18.9k,311,30,714
Equitas Small Finance Bank,4.5,6k,Banking | Chennai +424 other locations,12.4k,439,893,419
JSW Steel,3.9,5.9k,Iron & Steel | Ballari +164 other locations,27k,594,90,677
Sun Pharmaceutical Industries,4.0,5.9k,Pharma | Vadodara +228 other locations,21.9k,399,186,659
ITC,3.9,5.7k,FMCG | Bangalore / Bengaluru +340 other locations,22.7k,549,67,701
KPMG India,3.5,5.6k,Management Consulting | Bangalore / Bengaluru +98 other locations,52.9k,795,1.1k,795
FIS,3.9,5.6k,IT Services & Consulting | Pune +50 other locations,37.7k,485,12,779
HCL Group,3.6,5.6k,IT Services & Consulting | Chennai +86 other locations,49.6k,454,2,709
Axis Max Life Insurance,4.1,5.5k,Insurance | New Delhi +441 other locations,17.8k,311,241,527
Ujjivan Small Finance Bank,4.1,5.4k,Banking | Bangalore / Bengaluru +486 other locations,12.4k,231,37,603
Ekart Logistics,3.9,5.4k,Bangalore / Bengaluru +672 other locations,14k,309,--,450
Tata Projects,4.2,5.3k,Engineering & Construction | Mumbai +257 other locations,20.3k,437,20,593
Oracle,3.7,5.3k,Software Product | Bangalore / Bengaluru +51 other locations,56.2k,853,1.4k,661
IIFL Finance,4.0,5.3k,NBFC | Mumbai +733 other locations,14.7k,251,68,444
Indian Army,4.7,5.3k,Defence & Aerospace | New Delhi +341 other locations,9.8k,150,--,769
Megha Engineering & Infrastructures,3.9,5.1k,Engineering & Construction | Hyderabad / Secunderabad +344 other locations,16.7k,442,34,577
Udaan,4.0,5.1k,Internet | Bangalore / Bengaluru +346 other locations,17.2k,334,7,793
Muthoot Finance,3.6,5.1k,NBFC | Bangalore / Bengaluru +702 other locations,12.4k,255,123,345
eClerx,3.3,5.1k,IT Services & Consulting | Pune +26 other locations,29.1k,522,63,612
Omega Healthcare,3.7,5k,BPO | Bangalore / Bengaluru +57 other locations,23.1k,442,111,428
Bajaj Allianz Life Insurance,3.9,5k,Insurance | Pune +546 other locations,16.1k,329,110,508
JLL,4.1,5k,Real Estate | Gurgaon / Gurugram +72 other locations,21.4k,357,338,579
L&T Technology Services,3.3,4.9k,IT Services & Consulting | Bangalore / Bengaluru +75 other locations,39.1k,537,468,474
Coforge,3.3,4.9k,IT Services & Consulting | Noida +94 other locations,41.3k,521,342,356
Virtusa Consulting Services,3.8,4.9k,IT Services & Consulting | Hyderabad / Secunderabad +47 other locations,52.6k,575,899,354
Indiamart Intermesh,3.6,4.9k,Internet | Noida +152 other locations,19.2k,631,394,471
HSBC Group,3.9,4.8k,Financial Services | Bangalore / Bengaluru +59 other locations,36.7k,487,220,1.2k
Siemens,4.1,4.8k,Industrial Automation | Bangalore / Bengaluru +142 other locations,30.4k,422,739,692
Aurobindo Pharma,4.0,4.8k,Pharma | Hyderabad / Secunderabad +96 other locations,21.5k,239,13,511
Shapoorji Pallonji Group,4.1,4.7k,Engineering & Construction | Mumbai +181 other locations,15k,332,26,665
Standard Chartered,3.7,4.7k,Banking | Chennai +65 other locations,39.5k,267,--,352
Firstsource Solutions,3.6,4.7k,BPO | Bangalore / Bengaluru +62 other locations,22.3k,297,108,624
DMart,3.9,4.6k,Retail | Mumbai +229 other locations,15.8k,404,158,500
CGI Group,4.0,4.6k,IT Services & Consulting | Bangalore / Bengaluru +37 other locations,42.9k,484,181,447
